Adress,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
Lavendelhof 46,Nieuwegein,€ 375.000,254 m²,117 m²,1974,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer,2 woonlagen en een zolder,D,In woonwijk,"Achtertuin, voortuin en zijtuin",
Generaal Boreelpad 27,Eindhoven,€ 450.000,311 m²,127 m²,1988,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan park, aan rustige weg en in woonwijk",Achtertuin en voortuin,5.430
Abt van Grevenbroekstraat 5,Herpt,€ 350.000,162 m²,79 m²,2014,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (2 slaapkamers),1 badkamer,2 woonlagen en een vliering,A,"Aan rustige weg, in bosrijke omgeving, in woonwijk en landelijk gelegen","Achtertuin, voortuin en zijtuin",735
Utrechtseweg 226,Arnhem,€ 1.285.000,397 m²,316 m²,1907,Bestaande bouw,"Herenhuis, 2-onder-1-kapwoning",Samengesteld dak bedekt met bitumineuze dakbedekking,13 kamers (8 slaapkamers),2 badkamers en 4 aparte toiletten,3 woonlagen en een kelder,F,In woonwijk en vrij uitzicht,"Achtertuin, voortuin en zijtuin",1.500
Bottelroosstraat 29,Bakel,€ 439.500,340 m²,156 m²,1978,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan park, aan rustige weg, in woonwijk, landelijk gelegen en vrij uitzicht","Achtertuin, voortuin en zijtuin",4.205
Gerichtenweg 33,Doornspijk,€ 598.000,815 m²,112 m²,1957,Bestaande bouw,"Bungalow, vrijstaande woning (semi-bungalow)",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,"2 woonlagen, een vliering en een kelder",C,"In woonwijk, landelijk gelegen, open ligging en vrij uitzicht",Tuin rondom en zonneterras,910
Azalealaan 28,Heerhugowaard,€ 339.000,143 m²,107 m²,1969,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, in centrum en in woonwijk",Achtertuin en voortuin,2.035
Raadhuisstraat 9,Diemen,€ 650.000,119 m²,131 m²,1926,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Plat dak bedekt met bitumineuze dakbedekking,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,In centrum en in woonwijk,Achtertuin,2.420
Hof van Versailles 46,Amsterdam,€ 675.000,111 m²,123 m²,1998,Bestaande bouw,"Eengezinswoning, tussenwoning (patiowoning)",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,In woonwijk,Patio/atrium,8.145
Cyclamenstraat 41,Eindhoven,€ 435.000,142 m²,113 m²,1934,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een vliering,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.370
Le Corbusierstraat 10,Dongen,€ 639.000,460 m²,146 m²,1996,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,9 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,A,Aan rustige weg en in woonwijk,Tuin rondom,2.800
Jan Bijhouwerstraat 85,Purmerend,€ 500.000,261 m²,120 m²,1989,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,B,"Aan park, in woonwijk en vrij uitzicht",Achtertuin en voortuin,7.205
Jacob van Ruysdaellaan 23,Lochem,€ 245.000,142 m²,89 m²,1966,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een zolder en een kelder",C,In woonwijk,Achtertuin en voortuin,3.910
Beethovenstraat 17,Leeuwarden,€ 250.000,100 m²,111 m²,1934,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,F,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.705
Borredreef 68,Vlijmen,€ 349.000,244 m²,165 m²,1970,Bestaande bouw,"Eengezinswoning, hoekwoning (drive-in woning)",Plat dak,5 kamers (2 slaapkamers),2 badkamers,3 woonlagen,C,In woonwijk,"Achtertuin, voortuin en zijtuin",3.955
Oosterduinplein 15,IJmuiden,€ 435.000,135 m²,115 m²,1929,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, in centrum en in woonwijk",Achtertuin en voortuin,2.150
Jeneverbes 14,Amersfoort,€ 669.000,294 m²,147 m²,1993,Bestaande bouw,"Eengezinswoning, geschakelde woning",Lessenaardak bedekt met pannen,6 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",€ 3.416
d'Hondecoeterstraat 69,Leeuwarden,€ 230.000,120 m²,116 m²,1935,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,E,In woonwijk,Achtertuin en voortuin,1.760
Rijnbandijk 221,Rijswijk (GE),€ 750.000,2.475 m²,179 m²,1926,Bestaande bouw,"Woonboerderij, geschakelde woning",Mansarde dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer,2 woonlagen en een kelder,C,"Aan rustige weg, buiten bebouwde kom, landelijk gelegen en vrij uitzicht","Achtertuin, voortuin en zijtuin",175
Beekdal 11,Assendelft,€ 395.000,117 m²,118 m²,2001,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin,5.640
Dr. W. Dreesstraat 149,Katwijk (ZH),€ 459.000,140 m²,113 m²,1990,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,1.945
Dommelstraat 4,Geldrop,€ 375.000,227 m²,126 m²,1959,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,C,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin en voortuin,3.190
Zwanenstraat 68,Nijmegen,€ 475.000,231 m²,109 m²,1998,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.335
Zadel 5,Leusden,€ 415.000,144 m²,113 m²,1985,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Beschutte ligging, in centrum en in woonwijk",Achtertuin,2.255
Zilverschoon 4,Bodegraven,€ 450.000,102 m²,122 m²,2017,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,€ 3.563
Tempellaan 21,Eindhoven,€ 375.000,164 m²,133 m²,1969,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,In woonwijk,Achtertuin,5.080
Buitenhof 71,Etten-Leur,€ 615.000,330 m²,153 m²,1998,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Plat dak,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,In woonwijk en vrij uitzicht,Achtertuin en voortuin,1.225
Eventer 7,Berghem,€ 435.000,191 m²,168 m²,2004,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Lessenaardak,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.430
Graaf 93,Echt,€ 275.000,195 m²,103 m²,1988,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,In centrum en in woonwijk,Achtertuin en voortuin,3.835
Sportparklaan 3,Horn,€ 650.000,3.310 m²,229 m²,1962,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,10 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een zolder en een kelder",G,,Tuin rondom,3.455
Klapwijkse Zoom 309,Berkel en Rodenrijs,€ 675.000,229 m²,141 m²,2006,Bestaande bouw,"Herenhuis, 2-onder-1-kapwoning",Dwarskap bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,"Aan rustige weg, aan water, in woonwijk en vrij uitzicht",Achtertuin en voortuin,2.395
Meeuwenweg 15,Zuidwolde (DR),€ 759.000,11.950 m²,127 m²,1939,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met riet,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,G,"Aan bosrand, aan rustige weg, buiten bebouwde kom, in bosrijke omgeving, landelijk gelegen, open ligging en vrij uitzicht",Tuin rondom,430
Neerijnen 62,Barneveld,€ 374.500,160 m²,110 m²,1975,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.285
Scheperstraat 26,Sevenum,€ 269.000,274 m²,101 m²,1976,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,5.050
Grintweg 121,Winschoten,€ 269.000,644 m²,126 m²,1938,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,F,In woonwijk,Achtertuin en voortuin,1.255
De Meridiaan 6,Dronten,€ 565.000,737 m²,130 m²,1972,Bestaande bouw,"Bungalow, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,1 woonlaag,D,"Aan rustige weg, in woonwijk en vrij uitzicht",Tuin rondom,415
Goudsmidsstraat 45,Hoorn (NH),€ 275.000,194 m²,90 m²,1965,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,In woonwijk,Achtertuin en voortuin,1.705
Gravenborch 54,Houten,€ 739.000,257 m²,181 m²,1988,Bestaande bouw,"Herenhuis, geschakelde 2-onder-1-kapwoning",Dwarskap bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,990
den Dam 27,Breedenbroek,€ 550.000,10.400 m²,105 m²,1926,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"1 woonlaag, een zolder en een kelder",G,"Buiten bebouwde kom, landelijk gelegen en vrij uitzicht",Tuin rondom,500
Koudhoornseweg 4,Garderen,€ 599.000,340 m²,186 m²,1988,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een kelder,D,Aan rustige weg en in bosrijke omgeving,"Achtertuin, voortuin en zijtuin",1.265
