Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
Uiterwaard 4,Lopik,€ 375.000,126 m²,116 m²,2000,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.530
Gedempte Schalk Burgergracht 73,Haarlem,€ 450.000,129 m²,107 m²,1910,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,F,"Aan rustige weg, in centrum en in woonwijk",Achtertuin en voortuin,2.615
Waadse Poldergracht 49,Muiden,€ 1.050.000,180 m²,207 m²,2019,Bestaande bouw,"Herenhuis, tussenwoning",Plat dak,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, aan vaarwater, aan water en in woonwijk",Achtertuin,1.455
Streepvaren 4,Bergschenhoek,€ 525.000,202 m²,127 m²,1996,Bestaande bouw,"Bungalow, tussenwoning (semi-bungalow)",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,In woonwijk en vrij uitzicht,Achtertuin en voortuin,2.250
F.A. Molijnlaan 27,Nunspeet,€ 695.000,582 m²,148 m²,1930,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Tentdak bedekt met pannen,8 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,E,Beschutte ligging en in bosrijke omgeving,"Achtertuin, tuin rondom, voortuin en zijtuin",9.095
Geerstraat 16,Winssen,€ 550.000,1.169 m²,273 m²,1928,Bestaande bouw,"Woonboerderij, vrijstaande woning",Mansarde dak bedekt met pannen,6 kamers (4 slaapkamers),3 badkamers en 1 apart toilet,"2 woonlagen, een vliering en een kelder",E,"Landelijk gelegen, open ligging en vrij uitzicht",Tuin rondom,350
Joan Muyskenweg 18 B,Amsterdam,€ 625.011,126 m²,84 m²,1989,Bestaande bouw,"Woonboot, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,3 kamers (1 slaapkamer),1 badkamer,1 woonlaag en een kelder,C,"Aan vaarwater, aan water en vrij uitzicht",Zonneterras,5.085
Singel 25,Jubbega,€ 565.000,2.800 m²,121 m²,1930,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer,2 woonlagen,G,In bosrijke omgeving en landelijk gelegen,Achtertuin en voortuin,
Hooiweg 25,Etten-Leur,€ 625.000,363 m²,131 m²,1991,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,Aan rustige weg en in woonwijk,"Achtertuin, tuin rondom en voortuin",610
Gustav Mahlerstraat 3,Utrecht,€ 650.000,123 m²,120 m²,1934,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.360
Weergang 3,Waardenburg,€ 389.000,270 m²,109 m²,1997,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.805
